Suite de Pruebas,Caso de Prueba,Prioridad,Build Version 2,Asignado a,Fecha,Testeado por,Notas,Duración de la ejecución (min),Última Build Version 2,Exec Notes for Latest (created) Build,Última Ejecución,Notas (última ejec.)
Módulo Mascota/Nueva Mascota,CP-36\:Ingresar en el campo Edad una entrada no válida,Media,Fallado [v1],Equipo QA,2023-09-21 14:44:31,Equipo QA,Este caso se considerará un fallo; ya que; aunque dos pruebas pasaron; el objetivo del caso de prueba es garantizar que el campo Edad no permita entradas inválidas. Dado que dos de las pruebas resultaron en entradas inválidas; se confirma que el caso de prueba no está completamente correcto.,5,Fallado [v1],Este caso se considerará un fallo; ya que; aunque dos pruebas pasaron; el objetivo del caso de prueba es garantizar que el campo Edad no permita entradas inválidas. Dado que dos de las pruebas resultaron en entradas inválidas; se confirma que el caso de prueba no está completamente correcto.,Fallado [v1],Este caso se considerará un fallo; ya que; aunque dos pruebas pasaron; el objetivo del caso de prueba es garantizar que el campo Edad no permita entradas inválidas. Dado que dos de las pruebas resultaron en entradas inválidas; se confirma que el caso de prueba no está completamente correcto.
Módulo Mascota/Nueva Mascota,CP-37\:Verificar que el comboBox Cliente figuren los clientes correspondientes.,Media,Pasado [v1],Equipo QA,2023-09-21 14:45:18,Equipo QA,1,,Pasado [v1],,,
Módulo Mascota/Nueva Mascota,CP-38\:Cancelar el alta de una nueva mascota,Media,Fallado [v1],Equipo QA,2023-09-21 14:46:51,Equipo QA,Si bien el sistema cancela el alta; no muestra ningún mensaje de confirmación de la cancelación; lo que podría generar confusión acerca de si la cancelación se realizó correctamente.,2,Fallado [v1],Si bien el sistema cancela el alta; no muestra ningún mensaje de confirmación de la cancelación; lo que podría generar confusión acerca de si la cancelación se realizó correctamente.,Fallado [v1],Si bien el sistema cancela el alta; no muestra ningún mensaje de confirmación de la cancelación; lo que podría generar confusión acerca de si la cancelación se realizó correctamente.
Módulo Mascota/Nueva Mascota,CP-39\:Verificar que el comboBox Tipo figuren los tipos de mascotas,Media,Pasado [v1],Equipo QA,2023-09-21 14:47:39,Equipo QA,1,,Pasado [v1],,,
Módulo Mascota/Nueva Mascota,CP-58\:Dar de alta a una mascota con campos vacios,Media,Pasado [v1],Equipo QA,2023-09-21 14:48:40,Equipo QA,3,,Pasado [v1],,,
Módulo Mascota/Nueva Mascota,CP-66\:Comprobar que las ventanas y los mensajes del usuario estén escritos correctamente,Alta,Fallado [v1],Equipo QA,2023-09-21 14:54:15,Equipo QA,2,,Fallado [v1],,,
Módulo Mascota/Listado de Mascotas,CP-40\:Ingresar un Nro de patente existente,Media,Pasado [v1],Equipo QA,2023-09-21 11:52:11,Equipo QA,, ,Pasado [v1],,,
Módulo Mascota/Listado de Mascotas,CP-41\:Ingresar un número de patente existente y filtrar por un tipo válido,Media,Pasado [v1],Equipo QA,2023-09-21 15:00:20,Equipo QA,1,,Pasado [v1],,,
Módulo Mascota/Listado de Mascotas,CP-42\:Ingresar un número de patente existente y un tipo inexistente,Media,Pasado [v1],Equipo QA,2023-09-21 15:01:34,Equipo QA,1,,Pasado [v1],,,
Módulo Mascota/Listado de Mascotas,CP-67\:Ingresar un número de patente inexistente.,Alta,Pasado [v1],Equipo QA,2023-09-21 15:02:29,Equipo QA,2,,Pasado [v1],,,
Módulo Mascota/Listado de Mascotas,CP-68\:Comprobar que las ventanas y los mensajes del usuario estén escritos correctamente,Media,Pasado [v1],Equipo QA,2023-09-21 15:03:34,Equipo QA,2,,Pasado [v1],,,
Módulo Veterinario/Nuevo Veterinario,CP-43\:Dar de alta un Veterinario,Media,Fallado [v1],Equipo QA,2023-09-21 15:05:37,Equipo QA,Cuando se selecciona el botón Ingresar se despliega un mensaje de error; pero si se presiona otra vez el botón Ingresar con los mismos datos se despliega un nuevo mensaje informando que ya hay un veterinario registrado con ese código; por lo tanto el registro se realiza exitosamente pero al usuario le muestra lo contrario.,5,Fallado [v1],Cuando se selecciona el botón Ingresar se despliega un mensaje de error; pero si se presiona otra vez el botón Ingresar con los mismos datos se despliega un nuevo mensaje informando que ya hay un veterinario registrado con ese código; por lo tanto el registro se realiza exitosamente pero al usuario le muestra lo contrario.,Fallado [v1],Cuando se selecciona el botón Ingresar se despliega un mensaje de error; pero si se presiona otra vez el botón Ingresar con los mismos datos se despliega un nuevo mensaje informando que ya hay un veterinario registrado con ese código; por lo tanto el registro se realiza exitosamente pero al usuario le muestra lo contrario.
Módulo Veterinario/Nuevo Veterinario,CP-44\:Cancelar el alta de un veterinario,Media,Fallado [v1],Equipo QA,2023-09-21 15:10:57,Equipo QA,Al presionar en Cancelar sale un mensaje de error con la siguiente leyenda: Hubo un error al almacenar. Intente de nuevo más tarde.,5,Fallado [v1],Al presionar en Cancelar sale un mensaje de error con la siguiente leyenda: Hubo un error al almacenar. Intente de nuevo más tarde.,Fallado [v1],Al presionar en Cancelar sale un mensaje de error con la siguiente leyenda: Hubo un error al almacenar. Intente de nuevo más tarde.
Módulo Veterinario/Nuevo Veterinario,CP-45\:Ingresar un código inválido,Media,Fallado [v1],Equipo QA,2023-09-21 15:28:29,Equipo QA,En ambas pruebas; el sistema muestra un mensaje de error indicando que hay un problema al almacenar el veterinario. Sin embargo; el sistema permite el almacenamiento del veterinario nuevo con el código incorrecto.,3,Fallado [v1],En ambas pruebas; el sistema muestra un mensaje de error indicando que hay un problema al almacenar el veterinario. Sin embargo; el sistema permite el almacenamiento del veterinario nuevo con el código incorrecto.,Fallado [v1],En ambas pruebas; el sistema muestra un mensaje de error indicando que hay un problema al almacenar el veterinario. Sin embargo; el sistema permite el almacenamiento del veterinario nuevo con el código incorrecto.
Módulo Veterinario/Nuevo Veterinario,CP-46\:Ingresar un nombre inválido,Media,Fallado [v1],Equipo QA,2023-09-21 15:47:10,Equipo QA,En ambas pruebas; el sistema muestra un mensaje de error indicando que hay un problema al almacenar el veterinario. Sin embargo; el sistema permite el almacenamiento del veterinario nuevo con un nombre incorrecto.,3,Fallado [v1],En ambas pruebas; el sistema muestra un mensaje de error indicando que hay un problema al almacenar el veterinario. Sin embargo; el sistema permite el almacenamiento del veterinario nuevo con un nombre incorrecto.,Fallado [v1],En ambas pruebas; el sistema muestra un mensaje de error indicando que hay un problema al almacenar el veterinario. Sin embargo; el sistema permite el almacenamiento del veterinario nuevo con un nombre incorrecto.
Módulo Veterinario/Nuevo Veterinario,CP-47\:Ingresar una CI inválida,Media,Fallado [v1],Equipo QA,2023-09-21 16:44:49,Equipo QA,En todas las pruebas; el sistema muestra un mensaje de error indicando que hay un problema al almacenar el veterinario. Sin embargo; el sistema permite el almacenamiento del veterinario nuevo con una cédula con formato incorrecto.,5,Fallado [v1],En todas las pruebas; el sistema muestra un mensaje de error indicando que hay un problema al almacenar el veterinario. Sin embargo; el sistema permite el almacenamiento del veterinario nuevo con una cédula con formato incorrecto.,Fallado [v1],En todas las pruebas; el sistema muestra un mensaje de error indicando que hay un problema al almacenar el veterinario. Sin embargo; el sistema permite el almacenamiento del veterinario nuevo con una cédula con formato incorrecto.
Módulo Veterinario/Nuevo Veterinario,CP-59\:Dar de alta un veterinario con campos vacios,Media,Pasado [v1],Equipo QA,2023-09-21 16:45:55,Equipo QA,5,,Pasado [v1],,,
Módulo Veterinario/Nuevo Veterinario,CP-60\:Verificar que en el comboBox Especialidad figuren las especialidades correspondientes.,Media,Pasado [v1],Equipo QA,2023-09-21 16:47:01,Equipo QA,El comboBox Especialidad se despliega correctamente al seleccionar la flecha mostrando al usuario las especialidades disponibles y una vez se elige una ésta queda grabada.,1,Pasado [v1],El comboBox Especialidad se despliega correctamente al seleccionar la flecha mostrando al usuario las especialidades disponibles y una vez se elige una ésta queda grabada.,Pasado [v1],El comboBox Especialidad se despliega correctamente al seleccionar la flecha mostrando al usuario las especialidades disponibles y una vez se elige una ésta queda grabada.
Módulo Veterinario/Nuevo Veterinario,CP-69\:Comprobar que las ventanas y los mensajes del usuario estén escritos correctamente,Media,Fallado [v1],Equipo QA,2023-09-21 17:04:59,Equipo QA,, ,Fallado [v1],,,
Módulo Consulta/Nueva Consulta,CP-48\:Dar de alta una consulta,Media,Pasado [v1],Equipo QA,2023-09-21 17:08:38,Equipo QA,Aunque el caso es correcto; es necesario especificar que no solo se debe ingresar el Nro Patente; sino también seleccionar la mascota que muestra.,2,Pasado [v1],Aunque el caso es correcto; es necesario especificar que no solo se debe ingresar el Nro Patente; sino también seleccionar la mascota que muestra.,Pasado [v1],Aunque el caso es correcto; es necesario especificar que no solo se debe ingresar el Nro Patente; sino también seleccionar la mascota que muestra.
Módulo Consulta/Nueva Consulta,CP-49\:Ingresar el número de patente inválido,Media,Fallado [v1],Equipo QA,2023-09-21 17:15:49,Equipo QA,No registra la consulta pero lo que se le informa al usuario es que debe seleccionar una mascota. El resultado es distinto del esperado.,2,Fallado [v1],No registra la consulta pero lo que se le informa al usuario es que debe seleccionar una mascota. El resultado es distinto del esperado.,Fallado [v1],No registra la consulta pero lo que se le informa al usuario es que debe seleccionar una mascota. El resultado es distinto del esperado.
Módulo Consulta/Nueva Consulta,CP-50\:Verificar que la fecha de ingreso sea mayor a la actual no permita ingreso.,Media,Pasado [v1],Equipo QA,2023-09-21 17:21:39,Equipo QA,3,,Pasado [v1],,,
Módulo Consulta/Nueva Consulta,CP-51\:Cancelar el alta de una consulta,Media,Fallado [v1],Equipo QA,2023-09-21 17:22:37,Equipo QA,, ,Fallado [v1],,,
Módulo Consulta/Nueva Consulta,CP-70\:Comprobar que las ventanas y los mensajes del usuario estén escritos correctamente,Media,Fallado [v1],Equipo QA,2023-09-22 17:12:04,Equipo QA,, ,Fallado [v1],,,
Módulo Consulta/Listado de Consulta,CP-52\:Filtrar por una fecha válida,Media,Pasado [v1],Equipo QA,2023-09-21 17:36:35,Equipo QA,1,,Pasado [v1],,,
Módulo Consulta/Listado de Consulta,CP-53\:Filtrar sin ingresar una fecha,Media,Fallado [v1],Equipo QA,2023-09-21 17:40:55,Equipo QA,, ,Fallado [v1],,,
Módulo Consulta/Listado de Consulta,CP-54\:Filtrar por una fecha válida y luego limpiar el filtro,Media,Pasado [v1],Equipo QA,2023-09-21 17:45:31,Equipo QA,2,,Pasado [v1],,,
Módulo Consulta/Listado de Consulta,CP-71\:Comprobar que las ventanas y los mensajes al usuario estén escritos correctamente,Media,Pasado [v1],Equipo QA,2023-09-21 17:44:42,Equipo QA,3,,Pasado [v1],,,
